0002815416,BACUP RAWTENSTALL GRAMMAR SCHL,GBR,SIS,BACUP RAWTENSTALL GRAMMAR SCHOOL,BACUP RAWTENSTALL GRAMMAR SCHL,SCHOOL 
0001710277,SAINT MARY'S SCHOOL ASCOT,GBR,SIS,SAINT MARYS ASCOT SCHOOL,SAINT MARY'S SCHOOL ASCOT,SCHOOL 
0003386233,YOUNG BUSINESS CREATIVES,SWE,SIS,YOUNG BUSINESS CREATIVES ,YOUNG BUSINESS CREATIVES,
0003407592,REDEEMERS UNIVERSITY,NGA,SIS,REDEEMERS UNIVERSITY,REDEEMERS UNIVERSITY,UNIVERSITY 
0003286047,REID KERR COLLEGE,GBR,SIS,REID KERR COLLEGE,REID KERR COLLEGE,COLLEGE 
0003274021,DE WORLD INTERNATIONAL SEC SCH,NGA,SIS,DE WORLD INTERNATIONAL SEC SCH ,DE WORLD INTERNATIONAL SEC SCH,
2000063581,SAINT MATHIAS ANGLICAN H SCH,NGA,SIS,SAINT MATHIAS ANGLICAN H SCH ,SAINT MATHIAS ANGLICAN H SCH,
2000049510,ILISAN HIGH SCHOOL,NGA,SIS,ILISAN HIGH SCHOOL,ILISAN HIGH SCHOOL,SCHOOL 
0000010699,DUBAI INTERNATIONAL SCHOOL,ARE,SIS,DUBAI INTERNATIONAL SCHOOL,DUBAI INTERNATIONAL SCHOOL,SCHOOL 
0001895569,CHELTENHAM LADIES COLLEGE,GBR,SIS,CHELTENHAM LADIES COLLEGE,CHELTENHAM LADIES COLLEGE,COLLEGE 
2000070783,CAC GRAMMAR SCHOOL,NGA,SIS,CAC GRAMMAR SCHOOL,CAC GRAMMAR SCHOOL,SCHOOL 
0000010800,DEAN CLOSE SCHOOL,GBR,SIS,DEAN CLOSE SCHOOL,DEAN CLOSE SCHOOL,SCHOOL 
0000010806,WORTH SCHOOL,GBR,SIS,WORTH SCHOOL,WORTH SCHOOL,SCHOOL 
0001836899,CHRIST'S COLLEGE,NZL,SIS,CHRISTS COLLEGE,CHRIST'S COLLEGE,COLLEGE 
0000011062,GOVERNORS HARBOUR HIGH SCHOOL,BHS,SIS,GOVERNORS HARBOUR HIGH SCHOOL,GOVERNORS HARBOUR HIGH SCHOOL,SCHOOL 
0000011118,PALLOTTI HIGH SCHOOL,BLZ,SIS,PALLOTTI HIGH SCHOOL,PALLOTTI HIGH SCHOOL,SCHOOL 
0003118937,BOARDING SCHOOL FOR BLIND KIDS,UKR,SIS,BOARDING BLIND KIDS SCHOOL,BOARDING SCHOOL FOR BLIND KIDS,SCHOOL 
0003634622,AL-HAMRANEYAH BOY'S SCHOOL FOR SECONDARY EDUCATION,ARE,SIS,ALHAMRANEYAH BOYS SECONDARY EDUCATION SCHOOL,AL-HAMRANEYAH BOY'S SCHOOL FOR SECONDARY EDUCATION,SCHOOL 
0003225305,WOODFORD HOUSE,NZL,SIS,WOODFORD HOUSE ,WOODFORD HOUSE,
0003228772,POLTAVA UNIVERSITY OF CONSUMER COOPERATION,UKR,SIS,POLTAVA CONSUMER COOPERATION UNIVERSITY,POLTAVA UNIVERSITY OF CONSUMER COOPERATION,UNIVERSITY 
